Ride,Date/Time,Wait Time
Pirates of the Caribbean,3/4/2019 16:40,40
Pirates of the Caribbean,3/4/2019 16:45,40
Pirates of the Caribbean,3/4/2019 16:50,35
Pirates of the Caribbean,3/4/2019 16:55,35
Pirates of the Caribbean,3/4/2019 17:00,40
Pirates of the Caribbean,3/4/2019 17:05,40
Pirates of the Caribbean,3/4/2019 17:10,40
Pirates of the Caribbean,3/4/2019 17:15,30
Pirates of the Caribbean,3/4/2019 17:20,30
Pirates of the Caribbean,3/4/2019 17:25,30
Pirates of the Caribbean,3/4/2019 17:30,35
Pirates of the Caribbean,3/4/2019 17:35,40
Pirates of the Caribbean,3/4/2019 17:40,40
Pirates of the Caribbean,3/4/2019 17:45,40
Pirates of the Caribbean,3/4/2019 17:50,40
Pirates of the Caribbean,3/4/2019 17:55,40
Pirates of the Caribbean,3/4/2019 18:00,40
Pirates of the Caribbean,3/4/2019 18:05,30
Pirates of the Caribbean,3/4/2019 18:10,30
Pirates of the Caribbean,3/4/2019 18:15,30
Pirates of the Caribbean,3/4/2019 18:20,40
Pirates of the Caribbean,3/4/2019 18:25,30
Pirates of the Caribbean,3/4/2019 18:30,30
Pirates of the Caribbean,3/4/2019 18:35,30
Pirates of the Caribbean,3/4/2019 18:40,30
Pirates of the Caribbean,3/4/2019 18:45,25
Pirates of the Caribbean,3/4/2019 18:50,25
Pirates of the Caribbean,3/4/2019 18:55,35
Pirates of the Caribbean,3/4/2019 19:00,35
Pirates of the Caribbean,3/4/2019 19:05,20
Pirates of the Caribbean,3/4/2019 19:10,20
Pirates of the Caribbean,3/4/2019 19:15,20
Pirates of the Caribbean,3/4/2019 19:20,20
Pirates of the Caribbean,3/4/2019 19:25,20
Pirates of the Caribbean,3/4/2019 19:30,20
Pirates of the Caribbean,3/4/2019 19:35,20
Pirates of the Caribbean,3/4/2019 19:40,25
Pirates of the Caribbean,3/4/2019 19:45,10
Pirates of the Caribbean,3/4/2019 19:50,10
Pirates of the Caribbean,3/4/2019 19:55,10
Pirates of the Caribbean,3/4/2019 20:00,10
Pirates of the Caribbean,3/4/2019 20:05,5
Pirates of the Caribbean,3/4/2019 20:10,5
Pirates of the Caribbean,3/4/2019 20:15,5
Pirates of the Caribbean,3/4/2019 20:20,5
Pirates of the Caribbean,3/4/2019 20:25,5
Pirates of the Caribbean,3/4/2019 20:30,10
Pirates of the Caribbean,3/4/2019 20:35,10
Pirates of the Caribbean,3/4/2019 20:40,10
Pirates of the Caribbean,3/4/2019 20:45,10
Pirates of the Caribbean,3/4/2019 20:50,5
Pirates of the Caribbean,3/4/2019 20:55,5
Pirates of the Caribbean,3/4/2019 21:00,5
Pirates of the Caribbean,3/4/2019 21:05,10
Pirates of the Caribbean,3/4/2019 21:10,5
Pirates of the Caribbean,3/4/2019 21:15,5
Pirates of the Caribbean,3/4/2019 21:20,5
Pirates of the Caribbean,3/4/2019 21:25,5
Pirates of the Caribbean,3/4/2019 21:30,5
Pirates of the Caribbean,3/4/2019 21:35,5
Pirates of the Caribbean,3/4/2019 21:40,5
Pirates of the Caribbean,3/4/2019 21:45,5
Pirates of the Caribbean,3/4/2019 21:50,5
Pirates of the Caribbean,3/4/2019 21:55,5
Pirates of the Caribbean,3/4/2019 22:00,5
Pirates of the Caribbean,3/5/2019 9:05,10
Pirates of the Caribbean,3/5/2019 9:10,5
Pirates of the Caribbean,3/5/2019 9:15,10
Pirates of the Caribbean,3/5/2019 9:50,10
Pirates of the Caribbean,3/5/2019 9:55,10
Pirates of the Caribbean,3/5/2019 10:00,10
Pirates of the Caribbean,3/5/2019 10:05,20
Pirates of the Caribbean,3/5/2019 10:10,20
Pirates of the Caribbean,3/5/2019 10:15,20
Pirates of the Caribbean,3/5/2019 10:20,20
Pirates of the Caribbean,3/5/2019 10:25,40
Pirates of the Caribbean,3/5/2019 10:30,40
Pirates of the Caribbean,3/5/2019 10:35,45
Pirates of the Caribbean,3/5/2019 10:40,50
Pirates of the Caribbean,3/5/2019 10:45,50
Pirates of the Caribbean,3/5/2019 10:50,50
Pirates of the Caribbean,3/5/2019 10:55,50
Pirates of the Caribbean,3/5/2019 11:00,45
Pirates of the Caribbean,3/5/2019 11:05,45
Pirates of the Caribbean,3/5/2019 11:10,85
Pirates of the Caribbean,3/5/2019 11:15,85
Pirates of the Caribbean,3/5/2019 11:20,55
Pirates of the Caribbean,3/5/2019 11:25,55
Pirates of the Caribbean,3/5/2019 11:30,70
Pirates of the Caribbean,3/5/2019 11:35,70
Pirates of the Caribbean,3/5/2019 11:40,60
Pirates of the Caribbean,3/5/2019 11:45,55
Pirates of the Caribbean,3/5/2019 11:50,60
Pirates of the Caribbean,3/5/2019 11:55,60
Pirates of the Caribbean,3/5/2019 12:00,50
Pirates of the Caribbean,3/5/2019 12:05,50
Pirates of the Caribbean,3/5/2019 12:10,55
Pirates of the Caribbean,3/5/2019 12:15,60
Pirates of the Caribbean,3/5/2019 12:20,60
Pirates of the Caribbean,3/5/2019 12:25,60
Pirates of the Caribbean,3/5/2019 12:30,60
Pirates of the Caribbean,3/5/2019 12:35,50
Pirates of the Caribbean,3/5/2019 12:40,50
Pirates of the Caribbean,3/5/2019 12:45,50
Pirates of the Caribbean,3/5/2019 12:50,55
Pirates of the Caribbean,3/5/2019 12:55,55
Pirates of the Caribbean,3/5/2019 13:00,65
Pirates of the Caribbean,3/5/2019 13:05,65
Pirates of the Caribbean,3/5/2019 13:20,35
Pirates of the Caribbean,3/5/2019 13:25,35
Pirates of the Caribbean,3/5/2019 13:30,35
Pirates of the Caribbean,3/5/2019 13:35,35
Pirates of the Caribbean,3/5/2019 13:40,35
Pirates of the Caribbean,3/5/2019 13:45,40
Pirates of the Caribbean,3/5/2019 13:50,55
Pirates of the Caribbean,3/5/2019 13:55,60
Pirates of the Caribbean,3/5/2019 14:00,60
Pirates of the Caribbean,3/5/2019 14:15,60
Pirates of the Caribbean,3/5/2019 14:20,65
Pirates of the Caribbean,3/5/2019 14:25,65
Pirates of the Caribbean,3/5/2019 14:30,65
Pirates of the Caribbean,3/5/2019 14:35,60
Pirates of the Caribbean,3/5/2019 14:40,45
Pirates of the Caribbean,3/5/2019 14:55,50
Pirates of the Caribbean,3/5/2019 15:00,50
Pirates of the Caribbean,3/5/2019 15:05,50
Pirates of the Caribbean,3/5/2019 15:10,50
Pirates of the Caribbean,3/5/2019 15:15,45
Pirates of the Caribbean,3/5/2019 15:20,45
Pirates of the Caribbean,3/5/2019 15:25,45
Pirates of the Caribbean,3/5/2019 15:35,45
Pirates of the Caribbean,3/5/2019 15:40,45
Pirates of the Caribbean,3/5/2019 15:45,55
Pirates of the Caribbean,3/5/2019 15:50,55
Pirates of the Caribbean,3/5/2019 15:55,65
Pirates of the Caribbean,3/5/2019 16:00,60
Pirates of the Caribbean,3/5/2019 16:05,60
Pirates of the Caribbean,3/5/2019 16:10,60
Pirates of the Caribbean,3/5/2019 16:15,45
Pirates of the Caribbean,3/5/2019 16:20,55
Pirates of the Caribbean,3/5/2019 16:25,55
Pirates of the Caribbean,3/5/2019 16:30,55
Pirates of the Caribbean,3/5/2019 16:35,40
Pirates of the Caribbean,3/5/2019 16:40,30
Pirates of the Caribbean,3/5/2019 16:45,45
Pirates of the Caribbean,3/5/2019 16:50,55
Pirates of the Caribbean,3/5/2019 16:55,55
Pirates of the Caribbean,3/5/2019 17:00,50
Pirates of the Caribbean,3/5/2019 17:05,50
Pirates of the Caribbean,3/5/2019 17:10,50
Pirates of the Caribbean,3/5/2019 17:15,55
Pirates of the Caribbean,3/5/2019 17:20,55
Pirates of the Caribbean,3/5/2019 17:25,55
Pirates of the Caribbean,3/5/2019 17:30,65
Pirates of the Caribbean,3/5/2019 17:35,55
Pirates of the Caribbean,3/5/2019 17:40,55
Pirates of the Caribbean,3/5/2019 17:45,50
Pirates of the Caribbean,3/5/2019 17:50,40
Pirates of the Caribbean,3/5/2019 17:55,55
Pirates of the Caribbean,3/5/2019 18:00,25
Pirates of the Caribbean,3/5/2019 18:05,45
Pirates of the Caribbean,3/5/2019 18:10,30
Pirates of the Caribbean,3/5/2019 18:15,30
Pirates of the Caribbean,3/5/2019 18:20,30
Pirates of the Caribbean,3/5/2019 18:25,25
Pirates of the Caribbean,3/5/2019 18:30,25
Pirates of the Caribbean,3/5/2019 18:35,25
Pirates of the Caribbean,3/5/2019 18:40,25
Pirates of the Caribbean,3/5/2019 18:45,30
Pirates of the Caribbean,3/5/2019 18:50,35
Pirates of the Caribbean,3/5/2019 18:55,35
Pirates of the Caribbean,3/5/2019 19:00,35
Pirates of the Caribbean,3/5/2019 19:05,30
Pirates of the Caribbean,3/5/2019 19:10,30
Pirates of the Caribbean,3/5/2019 19:15,30
Pirates of the Caribbean,3/5/2019 19:20,30
Pirates of the Caribbean,3/5/2019 19:25,30
Pirates of the Caribbean,3/5/2019 19:30,30
Pirates of the Caribbean,3/5/2019 19:35,25
Pirates of the Caribbean,3/5/2019 19:40,25
Pirates of the Caribbean,3/5/2019 19:45,15
Pirates of the Caribbean,3/5/2019 19:50,10
Pirates of the Caribbean,3/5/2019 19:55,10
Pirates of the Caribbean,3/5/2019 20:00,10
Pirates of the Caribbean,3/5/2019 20:05,10
Pirates of the Caribbean,3/5/2019 20:10,10
Pirates of the Caribbean,3/5/2019 20:15,10
Pirates of the Caribbean,3/5/2019 20:20,10
Pirates of the Caribbean,3/5/2019 20:25,10
Pirates of the Caribbean,3/5/2019 20:30,10
Pirates of the Caribbean,3/5/2019 20:35,10
Pirates of the Caribbean,3/5/2019 20:40,10
Pirates of the Caribbean,3/5/2019 20:45,10
Pirates of the Caribbean,3/5/2019 20:50,10
Pirates of the Caribbean,3/5/2019 20:55,10
Pirates of the Caribbean,3/5/2019 21:00,10
Pirates of the Caribbean,3/6/2019 9:05,5
Pirates of the Caribbean,3/6/2019 9:10,10
Pirates of the Caribbean,3/6/2019 9:15,10
Pirates of the Caribbean,3/6/2019 9:20,10
Pirates of the Caribbean,3/6/2019 9:25,10
Pirates of the Caribbean,3/6/2019 9:30,10
Pirates of the Caribbean,3/6/2019 9:35,10
Pirates of the Caribbean,3/6/2019 9:40,20
Pirates of the Caribbean,3/6/2019 9:45,20
Pirates of the Caribbean,3/6/2019 9:50,20
Pirates of the Caribbean,3/6/2019 9:55,30
Pirates of the Caribbean,3/6/2019 10:00,30
Pirates of the Caribbean,3/6/2019 10:05,20
Pirates of the Caribbean,3/6/2019 10:10,20
Pirates of the Caribbean,3/6/2019 10:15,20
Pirates of the Caribbean,3/6/2019 10:20,20
Pirates of the Caribbean,3/6/2019 10:25,25
Pirates of the Caribbean,3/6/2019 10:30,25
Pirates of the Caribbean,3/6/2019 10:35,25
Pirates of the Caribbean,3/6/2019 10:40,25
Pirates of the Caribbean,3/6/2019 10:45,25
Pirates of the Caribbean,3/6/2019 10:50,30
Pirates of the Caribbean,3/6/2019 10:55,30
Pirates of the Caribbean,3/6/2019 11:00,30
Pirates of the Caribbean,3/6/2019 11:05,40
Pirates of the Caribbean,3/6/2019 11:10,55
Pirates of the Caribbean,3/6/2019 11:15,55
Pirates of the Caribbean,3/6/2019 11:20,50
Pirates of the Caribbean,3/6/2019 11:25,45
Pirates of the Caribbean,3/6/2019 11:30,45
Pirates of the Caribbean,3/6/2019 11:35,50
Pirates of the Caribbean,3/6/2019 11:40,55
Pirates of the Caribbean,3/6/2019 11:45,55
Pirates of the Caribbean,3/6/2019 11:50,55
Pirates of the Caribbean,3/6/2019 11:55,45
Pirates of the Caribbean,3/6/2019 12:00,45
Pirates of the Caribbean,3/6/2019 12:05,45
Pirates of the Caribbean,3/6/2019 12:10,60
Pirates of the Caribbean,3/6/2019 12:15,65
Pirates of the Caribbean,3/6/2019 12:20,70
Pirates of the Caribbean,3/6/2019 12:25,70
Pirates of the Caribbean,3/6/2019 12:30,70
Pirates of the Caribbean,3/6/2019 12:35,70
Pirates of the Caribbean,3/6/2019 12:40,70
Pirates of the Caribbean,3/6/2019 12:45,40
Pirates of the Caribbean,3/6/2019 12:50,40
Pirates of the Caribbean,3/6/2019 12:55,50
Pirates of the Caribbean,3/6/2019 13:00,60
Pirates of the Caribbean,3/6/2019 13:05,60
Pirates of the Caribbean,3/6/2019 13:10,55
Pirates of the Caribbean,3/6/2019 13:15,55
Pirates of the Caribbean,3/6/2019 13:20,45
Pirates of the Caribbean,3/6/2019 13:25,45
Pirates of the Caribbean,3/6/2019 13:30,45
Pirates of the Caribbean,3/6/2019 13:35,45
Pirates of the Caribbean,3/6/2019 13:40,40
Pirates of the Caribbean,3/6/2019 13:45,55
Pirates of the Caribbean,3/6/2019 13:50,55
Pirates of the Caribbean,3/6/2019 13:55,45
Pirates of the Caribbean,3/6/2019 14:00,45
Pirates of the Caribbean,3/6/2019 14:05,60
Pirates of the Caribbean,3/6/2019 14:10,55
Pirates of the Caribbean,3/6/2019 14:15,60
Pirates of the Caribbean,3/6/2019 14:20,60
Pirates of the Caribbean,3/6/2019 14:25,60
Pirates of the Caribbean,3/6/2019 14:30,60
Pirates of the Caribbean,3/6/2019 14:35,45
Pirates of the Caribbean,3/6/2019 14:40,40
Pirates of the Caribbean,3/6/2019 14:45,40
Pirates of the Caribbean,3/6/2019 14:50,35
Pirates of the Caribbean,3/6/2019 14:55,35
Pirates of the Caribbean,3/6/2019 15:00,45
Pirates of the Caribbean,3/6/2019 15:05,50
Pirates of the Caribbean,3/6/2019 15:10,50
Pirates of the Caribbean,3/6/2019 15:15,50
Pirates of the Caribbean,3/6/2019 15:20,60
Pirates of the Caribbean,3/6/2019 15:25,65
Pirates of the Caribbean,3/6/2019 15:30,65
Pirates of the Caribbean,3/6/2019 15:35,65
Pirates of the Caribbean,3/6/2019 15:40,65
Pirates of the Caribbean,3/6/2019 15:45,65
Pirates of the Caribbean,3/6/2019 15:50,75
Pirates of the Caribbean,3/6/2019 15:55,75
Pirates of the Caribbean,3/6/2019 18:50,45
Pirates of the Caribbean,3/6/2019 18:55,45
Pirates of the Caribbean,3/6/2019 19:00,20
Pirates of the Caribbean,3/6/2019 19:05,20
Pirates of the Caribbean,3/6/2019 19:10,20
Pirates of the Caribbean,3/6/2019 19:15,20
Pirates of the Caribbean,3/6/2019 19:20,45
Pirates of the Caribbean,3/6/2019 19:25,45
Pirates of the Caribbean,3/6/2019 19:30,45
Pirates of the Caribbean,3/6/2019 19:35,45
Pirates of the Caribbean,3/6/2019 19:40,45
Pirates of the Caribbean,3/6/2019 19:45,30
Pirates of the Caribbean,3/6/2019 19:50,30
Pirates of the Caribbean,3/6/2019 19:55,30
Pirates of the Caribbean,3/6/2019 20:00,30
Pirates of the Caribbean,3/6/2019 20:05,30
Pirates of the Caribbean,3/6/2019 20:10,10
Pirates of the Caribbean,3/6/2019 20:15,5
Pirates of the Caribbean,3/6/2019 20:20,5
Pirates of the Caribbean,3/6/2019 20:25,5
Pirates of the Caribbean,3/6/2019 20:30,15
Pirates of the Caribbean,3/6/2019 20:35,25
Pirates of the Caribbean,3/6/2019 20:40,30
Pirates of the Caribbean,3/6/2019 20:45,40
Pirates of the Caribbean,3/6/2019 20:50,40
Pirates of the Caribbean,3/6/2019 20:55,30
Pirates of the Caribbean,3/6/2019 21:00,30
Pirates of the Caribbean,3/6/2019 21:05,25
Pirates of the Caribbean,3/6/2019 21:10,25
Pirates of the Caribbean,3/6/2019 21:15,20
Pirates of the Caribbean,3/6/2019 21:20,10
Pirates of the Caribbean,3/6/2019 21:25,10
Pirates of the Caribbean,3/6/2019 21:30,5
Pirates of the Caribbean,3/6/2019 21:35,5
Pirates of the Caribbean,3/6/2019 21:40,5
Pirates of the Caribbean,3/6/2019 21:45,5
Pirates of the Caribbean,3/6/2019 21:50,5
Pirates of the Caribbean,3/6/2019 21:55,5
Pirates of the Caribbean,3/6/2019 22:00,5
Pirates of the Caribbean,3/6/2019 22:05,5
Pirates of the Caribbean,3/6/2019 22:10,5
Pirates of the Caribbean,3/6/2019 22:15,10
Pirates of the Caribbean,3/6/2019 22:20,10
Pirates of the Caribbean,3/6/2019 22:25,10
Pirates of the Caribbean,3/6/2019 22:30,10
Pirates of the Caribbean,3/6/2019 22:35,20
Pirates of the Caribbean,3/6/2019 22:40,10
Pirates of the Caribbean,3/6/2019 22:45,5
Pirates of the Caribbean,3/6/2019 22:50,5
Pirates of the Caribbean,3/6/2019 22:55,5
Pirates of the Caribbean,3/6/2019 23:00,5
Pirates of the Caribbean,3/7/2019 9:05,5
Pirates of the Caribbean,3/7/2019 9:10,10
Pirates of the Caribbean,3/7/2019 9:15,10
Pirates of the Caribbean,3/7/2019 9:20,10
Pirates of the Caribbean,3/7/2019 9:25,10
Pirates of the Caribbean,3/7/2019 9:30,10
Pirates of the Caribbean,3/7/2019 9:35,10
Pirates of the Caribbean,3/7/2019 9:40,10
Pirates of the Caribbean,3/7/2019 9:45,10
Pirates of the Caribbean,3/7/2019 9:50,10
Pirates of the Caribbean,3/7/2019 9:55,10
Pirates of the Caribbean,3/7/2019 10:00,15
Pirates of the Caribbean,3/7/2019 10:05,15
Pirates of the Caribbean,3/7/2019 10:10,15
Pirates of the Caribbean,3/7/2019 10:15,15
Pirates of the Caribbean,3/7/2019 10:20,20
Pirates of the Caribbean,3/7/2019 10:25,20
Pirates of the Caribbean,3/7/2019 10:30,20
Pirates of the Caribbean,3/7/2019 10:35,35
Pirates of the Caribbean,3/7/2019 10:40,45
Pirates of the Caribbean,3/7/2019 10:45,40
Pirates of the Caribbean,3/7/2019 10:50,45
Pirates of the Caribbean,3/7/2019 10:55,45
Pirates of the Caribbean,3/7/2019 11:00,40
Pirates of the Caribbean,3/7/2019 11:05,35
Pirates of the Caribbean,3/7/2019 11:10,35
Pirates of the Caribbean,3/7/2019 11:15,45
Pirates of the Caribbean,3/7/2019 11:20,45
Pirates of the Caribbean,3/7/2019 11:25,45
Pirates of the Caribbean,3/7/2019 11:30,30
Pirates of the Caribbean,3/7/2019 11:35,30
Pirates of the Caribbean,3/7/2019 11:40,30
Pirates of the Caribbean,3/7/2019 11:45,45
Pirates of the Caribbean,3/7/2019 11:50,45
Pirates of the Caribbean,3/7/2019 11:55,45
Pirates of the Caribbean,3/7/2019 12:00,60
Pirates of the Caribbean,3/7/2019 12:05,40
Pirates of the Caribbean,3/7/2019 12:10,40
Pirates of the Caribbean,3/7/2019 12:15,50
Pirates of the Caribbean,3/7/2019 12:20,50
Pirates of the Caribbean,3/7/2019 12:25,50
Pirates of the Caribbean,3/7/2019 12:30,45
Pirates of the Caribbean,3/7/2019 12:35,50
Pirates of the Caribbean,3/7/2019 12:40,60
Pirates of the Caribbean,3/7/2019 12:45,60
Pirates of the Caribbean,3/7/2019 12:50,50
Pirates of the Caribbean,3/7/2019 12:55,45
Pirates of the Caribbean,3/7/2019 13:00,45
Pirates of the Caribbean,3/7/2019 13:05,55
Pirates of the Caribbean,3/7/2019 13:10,55
Pirates of the Caribbean,3/7/2019 13:15,55
Pirates of the Caribbean,3/7/2019 13:20,45
Pirates of the Caribbean,3/7/2019 13:25,45
Pirates of the Caribbean,3/7/2019 13:30,45
Pirates of the Caribbean,3/7/2019 13:35,40
Pirates of the Caribbean,3/7/2019 13:40,45
Pirates of the Caribbean,3/7/2019 13:45,50
Pirates of the Caribbean,3/7/2019 13:50,50
Pirates of the Caribbean,3/7/2019 13:55,55
Pirates of the Caribbean,3/7/2019 14:00,60
Pirates of the Caribbean,3/7/2019 14:05,60
Pirates of the Caribbean,3/7/2019 14:10,60
Pirates of the Caribbean,3/7/2019 14:15,60
Pirates of the Caribbean,3/7/2019 14:20,60
Pirates of the Caribbean,3/7/2019 14:25,60
Pirates of the Caribbean,3/7/2019 14:30,60
Pirates of the Caribbean,3/7/2019 14:35,60
Pirates of the Caribbean,3/7/2019 14:40,60
Pirates of the Caribbean,3/7/2019 14:45,60
Pirates of the Caribbean,3/7/2019 14:50,60
Pirates of the Caribbean,3/7/2019 14:55,60
Pirates of the Caribbean,3/7/2019 15:00,60
Pirates of the Caribbean,3/7/2019 15:05,60
Pirates of the Caribbean,3/7/2019 15:10,55
Pirates of the Caribbean,3/7/2019 15:15,55
Pirates of the Caribbean,3/7/2019 15:20,55
Pirates of the Caribbean,3/7/2019 15:25,40
Pirates of the Caribbean,3/7/2019 15:30,40
Pirates of the Caribbean,3/7/2019 15:35,30
Pirates of the Caribbean,3/7/2019 15:40,30
Pirates of the Caribbean,3/7/2019 15:45,35
Pirates of the Caribbean,3/7/2019 15:50,35
Pirates of the Caribbean,3/7/2019 15:55,50
Pirates of the Caribbean,3/7/2019 16:00,50
Pirates of the Caribbean,3/7/2019 16:05,50
Pirates of the Caribbean,3/7/2019 16:10,50
Pirates of the Caribbean,3/7/2019 16:15,40
Pirates of the Caribbean,3/7/2019 16:20,40
Pirates of the Caribbean,3/7/2019 16:25,40
Pirates of the Caribbean,3/7/2019 16:30,40
Pirates of the Caribbean,3/7/2019 16:35,40
Pirates of the Caribbean,3/7/2019 16:40,45
Pirates of the Caribbean,3/7/2019 16:45,45
Pirates of the Caribbean,3/7/2019 16:50,45
Pirates of the Caribbean,3/7/2019 16:55,55
Pirates of the Caribbean,3/7/2019 17:00,55
Pirates of the Caribbean,3/7/2019 17:05,55
Pirates of the Caribbean,3/7/2019 17:10,50
Pirates of the Caribbean,3/7/2019 17:15,40
Pirates of the Caribbean,3/7/2019 17:20,40
Pirates of the Caribbean,3/7/2019 17:25,40
Pirates of the Caribbean,3/7/2019 17:30,40
Pirates of the Caribbean,3/7/2019 17:35,40
Pirates of the Caribbean,3/7/2019 17:40,35
Pirates of the Caribbean,3/7/2019 17:45,35
Pirates of the Caribbean,3/7/2019 17:50,40
Pirates of the Caribbean,3/7/2019 17:55,40
Pirates of the Caribbean,3/7/2019 18:00,40
Pirates of the Caribbean,3/7/2019 18:05,30
Pirates of the Caribbean,3/7/2019 18:10,30
Pirates of the Caribbean,3/7/2019 18:15,25
Pirates of the Caribbean,3/7/2019 18:20,25
Pirates of the Caribbean,3/7/2019 18:25,30
Pirates of the Caribbean,3/7/2019 18:30,30
Pirates of the Caribbean,3/7/2019 18:35,30
Pirates of the Caribbean,3/7/2019 18:40,30
Pirates of the Caribbean,3/7/2019 18:45,30
Pirates of the Caribbean,3/7/2019 18:50,30
Pirates of the Caribbean,3/7/2019 18:55,25
Pirates of the Caribbean,3/7/2019 19:00,25
Pirates of the Caribbean,3/7/2019 19:05,30
Pirates of the Caribbean,3/7/2019 19:10,25
Pirates of the Caribbean,3/7/2019 19:15,35
Pirates of the Caribbean,3/7/2019 19:20,25
Pirates of the Caribbean,3/7/2019 19:25,25
Pirates of the Caribbean,3/7/2019 19:30,25
Pirates of the Caribbean,3/7/2019 19:35,25
Pirates of the Caribbean,3/7/2019 19:40,25
Pirates of the Caribbean,3/7/2019 19:45,25
Pirates of the Caribbean,3/7/2019 19:50,20
Pirates of the Caribbean,3/7/2019 19:55,15
Pirates of the Caribbean,3/7/2019 20:00,15
Pirates of the Caribbean,3/7/2019 20:05,10
Pirates of the Caribbean,3/7/2019 20:10,10
Pirates of the Caribbean,3/7/2019 20:15,5
Pirates of the Caribbean,3/7/2019 20:20,5
Pirates of the Caribbean,3/7/2019 20:25,10
Pirates of the Caribbean,3/7/2019 20:30,10
Pirates of the Caribbean,3/7/2019 20:35,5
Pirates of the Caribbean,3/7/2019 20:40,5
